Model,RMSE,MAE,R2,MAPE
XGBoost,462296.56788344885,215742.80902777775,0.9283261055176857,6.897130548646654
RidgeCV,581202.946396144,289561.11214756605,0.8867142513337805,9.533718895945771
LassoCV,590997.7144363371,291237.1221610578,0.8828637632658719,9.510180606036608
ElasticNetCV,591056.2872039713,291199.40302011353,0.8828405437731436,9.509220621867192
